index_group,index_name,index_date,last_update_date,high,low,close,pe_ratio,pb_ratio,dividend_yield,
BSE,BSE:MidCap,12-Feb-2018,04-Dec-24,16900.34,16741.41,16852.46,39.82,2.91,0.86,
BSE,BSE:MidCap,09-Feb-2018,04-Dec-24,16685.72,16344.95,16634.91,38.72,2.86,0.85,
BSE,BSE:MidCap,08-Feb-2018,04-Dec-24,16672.45,16372.15,16649.07,38.98,2.87,0.85,
BSE,BSE:MidCap,07-Feb-2018,04-Dec-24,16567.16,16316.82,16350.74,38.71,2.81,0.86,
BSE,BSE:MidCap,06-Feb-2018,04-Dec-24,16403.12,15776.22,16281.09,38.70,2.81,0.86,
BSE,BSE:MidCap,05-Feb-2018,04-Dec-24,16601.65,16076.41,16559.55,39.41,2.86,0.85,
BSE,BSE:MidCap,02-Feb-2018,04-Dec-24,17162.38,16523.84,16574.70,39.48,2.84,0.86,
BSE,BSE:MidCap,31-Jan-2018,04-Dec-24,17574.88,17241.93,17364.20,45.53,3.03,0.80,
BSE,BSE:MidCap,30-Jan-2018,04-Dec-24,17698.39,17514.98,17591.39,46.03,3.06,0.79,
BSE,BSE:MidCap,29-Jan-2018,04-Dec-24,17931.42,17686.53,17710.30,46.44,3.09,0.78,
BSE,BSE:MidCap,25-Jan-2018,04-Dec-24,18047.17,17822.01,17841.19,47.61,3.12,0.77,
BSE,BSE:MidCap,24-Jan-2018,04-Dec-24,18124.91,17951.08,17975.83,48.02,3.14,0.76,
BSE,BSE:MidCap,23-Jan-2018,04-Dec-24,18123.57,17922.43,18078.73,48.31,3.15,0.76,
BSE,BSE:MidCap,22-Jan-2018,04-Dec-24,17895.62,17702.58,17876.50,47.83,3.12,0.77,
BSE,BSE:MidCap,19-Jan-2018,04-Dec-24,17794.61,17545.25,17765.00,47.09,3.10,0.77,
BSE,BSE:MidCap,18-Jan-2018,04-Dec-24,18060.14,17514.72,17629.45,46.79,3.08,0.78,
BSE,BSE:MidCap,17-Jan-2018,04-Dec-24,17958.14,17556.23,17932.37,47.12,3.10,0.77,
BSE,BSE:MidCap,16-Jan-2018,04-Dec-24,18159.83,17777.59,17813.94,46.77,3.08,0.78,
BSE,BSE:MidCap,15-Jan-2018,04-Dec-24,18256.93,18100.33,18128.88,48.04,3.16,0.76,
BSE,BSE:MidCap,12-Jan-2018,04-Dec-24,18247.05,17976.05,18137.03,48.12,3.17,0.76,
BSE,BSE:MidCap,11-Jan-2018,04-Dec-24,18219.00,18088.57,18167.77,48.02,3.16,0.76,
BSE,BSE:MidCap,10-Jan-2018,04-Dec-24,18236.83,18051.04,18118.24,47.77,3.14,0.76,
BSE,BSE:MidCap,09-Jan-2018,04-Dec-24,18321.37,18123.69,18173.91,47.84,3.15,0.76,
BSE,BSE:MidCap,08-Jan-2018,04-Dec-24,18265.48,18135.32,18247.55,48.16,3.17,0.76,
BSE,BSE:MidCap,05-Jan-2018,04-Dec-24,18098.24,18001.46,18070.03,48.12,3.17,0.76,
BSE,BSE:MidCap,04-Jan-2018,04-Dec-24,17963.81,17827.84,17945.62,47.77,3.14,0.76,
BSE,BSE:MidCap,03-Jan-2018,04-Dec-24,17868.87,17751.26,17819.32,47.36,3.12,0.77,
BSE,BSE:MidCap,02-Jan-2018,04-Dec-24,17928.27,17624.80,17725.47,47.06,3.10,0.77,
BSE,BSE:MidCap,29-Dec-2017,04-Dec-24,17851.03,17751.73,17822.40,47.21,3.12,0.77,
BSE,BSE:MidCap,28-Dec-2017,04-Dec-24,17752.90,17651.95,17691.93,46.66,3.09,0.78,
BSE,BSE:MidCap,27-Dec-2017,04-Dec-24,17783.81,17614.65,17673.64,46.60,3.08,0.78,
BSE,BSE:MidCap,26-Dec-2017,04-Dec-24,17720.57,17605.98,17706.94,46.74,3.09,0.78,
BSE,BSE:MidCap,22-Dec-2017,04-Dec-24,17653.68,17524.22,17573.78,46.37,3.07,0.79,
BSE,BSE:MidCap,21-Dec-2017,04-Dec-24,17564.50,17435.37,17553.71,46.35,3.07,0.79,
BSE,BSE:MidCap,20-Dec-2017,04-Dec-24,17484.05,17369.72,17418.72,46.08,3.05,0.79,
BSE,BSE:MidCap,19-Dec-2017,04-Dec-24,17366.87,17147.49,17356.19,45.90,3.04,0.80,
BSE,BSE:MidCap,18-Dec-2017,04-Dec-24,17195.16,16604.84,17104.40,45.09,2.98,0.81,
BSE,BSE:MidCap,15-Dec-2017,04-Dec-24,17002.48,16900.92,16974.72,45.08,2.98,0.81,
BSE,BSE:MidCap,14-Dec-2017,04-Dec-24,16887.87,16686.50,16806.40,44.58,2.95,0.82,
BSE,BSE:MidCap,13-Dec-2017,04-Dec-24,16981.94,16755.96,16790.64,44.34,2.93,0.82,
BSE,BSE:MidCap,12-Dec-2017,04-Dec-24,17108.98,16918.70,16933.29,44.78,2.96,0.81,
BSE,BSE:MidCap,11-Dec-2017,04-Dec-24,17133.43,17049.42,17106.29,45.31,3.00,0.80,
BSE,BSE:MidCap,08-Dec-2017,04-Dec-24,17057.76,16962.53,17044.36,45.14,2.98,0.81,
BSE,BSE:MidCap,07-Dec-2017,04-Dec-24,16913.23,16680.28,16893.61,44.53,2.94,0.82,
BSE,BSE:MidCap,06-Dec-2017,04-Dec-24,16838.85,16650.39,16662.88,43.97,2.91,0.83,
BSE,BSE:MidCap,05-Dec-2017,04-Dec-24,16837.14,16617.84,16812.07,44.48,2.94,0.82,
BSE,BSE:MidCap,04-Dec-2017,04-Dec-24,16884.32,16665.57,16742.60,44.35,2.93,0.82,
BSE,BSE:MidCap,30-Nov-2017,04-Dec-24,17004.33,16887.35,16917.44,44.61,2.95,0.82,
BSE,BSE:MidCap,29-Nov-2017,04-Dec-24,17110.66,16974.21,17010.51,45.05,2.98,0.81,
BSE,BSE:MidCap,28-Nov-2017,04-Dec-24,17093.66,16995.95,17038.75,45.15,2.98,0.81,
BSE,BSE:MidCap,27-Nov-2017,04-Dec-24,17033.48,16875.99,17022.21,45.03,2.98,0.81,
BSE,BSE:MidCap,24-Nov-2017,04-Dec-24,16952.13,16848.71,16934.32,44.79,2.96,0.81,
BSE,BSE:MidCap,23-Nov-2017,04-Dec-24,16850.56,16733.56,16836.18,44.83,2.95,0.82,
BSE,BSE:MidCap,22-Nov-2017,04-Dec-24,16829.23,16697.22,16785.41,44.80,2.94,0.82,
BSE,BSE:MidCap,21-Nov-2017,04-Dec-24,16872.28,16737.89,16794.23,44.68,2.94,0.82,
BSE,BSE:MidCap,20-Nov-2017,04-Dec-24,16790.20,16664.81,16777.79,44.58,2.93,0.82,
BSE,BSE:MidCap,17-Nov-2017,04-Dec-24,16758.80,16614.97,16673.33,44.58,2.93,0.82,
BSE,BSE:MidCap,16-Nov-2017,04-Dec-24,16529.49,16350.87,16504.06,43.12,2.89,0.83,
BSE,BSE:MidCap,15-Nov-2017,04-Dec-24,16526.11,16278.66,16328.64,42.74,2.87,0.84,
BSE,BSE:MidCap,14-Nov-2017,04-Dec-24,16581.55,16474.63,16494.72,43.24,2.89,0.84,
BSE,BSE:MidCap,13-Nov-2017,04-Dec-24,16626.95,16521.25,16530.97,43.34,2.90,0.84,
BSE,BSE:MidCap,10-Nov-2017,04-Dec-24,16662.69,16498.89,16562.69,41.46,2.88,0.83,
BSE,BSE:MidCap,09-Nov-2017,04-Dec-24,16607.84,16379.89,16577.92,41.86,2.90,0.83,
BSE,BSE:MidCap,08-Nov-2017,04-Dec-24,16647.50,16376.50,16416.61,41.23,2.85,0.85,
BSE,BSE:MidCap,07-Nov-2017,04-Dec-24,16879.64,16487.68,16543.46,41.66,2.87,0.84,
BSE,BSE:MidCap,06-Nov-2017,04-Dec-24,16829.46,16698.16,16789.79,42.17,2.95,0.82,
BSE,BSE:MidCap,03-Nov-2017,04-Dec-24,16796.41,16654.94,16713.11,42.36,2.93,0.82,
BSE,BSE:MidCap,02-Nov-2017,04-Dec-24,16809.96,16689.18,16725.35,42.36,2.93,0.82,
BSE,BSE:MidCap,31-Oct-2017,04-Dec-24,16641.83,16522.57,16587.98,42.21,2.92,0.82,
BSE,BSE:MidCap,30-Oct-2017,04-Dec-24,16587.14,16426.25,16565.32,42.11,2.91,0.83,
BSE,BSE:MidCap,27-Oct-2017,04-Dec-24,16442.45,16359.61,16379.58,41.35,2.87,0.84,
BSE,BSE:MidCap,26-Oct-2017,04-Dec-24,16378.94,16199.31,16334.36,41.43,2.88,0.84,
BSE,BSE:MidCap,25-Oct-2017,04-Dec-24,16338.73,16157.54,16249.36,40.93,2.85,0.85,
BSE,BSE:MidCap,24-Oct-2017,04-Dec-24,16207.66,16144.38,16181.73,40.84,2.84,0.85,
BSE,BSE:MidCap,23-Oct-2017,04-Dec-24,16190.80,16078.62,16147.97,40.75,2.84,0.85,
BSE,BSE:MidCap,19-Oct-2017,04-Dec-24,16192.77,16017.82,16076.42,40.55,2.82,0.86,
BSE,BSE:MidCap,18-Oct-2017,04-Dec-24,16160.14,16074.70,16115.98,40.58,2.83,0.86,
BSE,BSE:MidCap,17-Oct-2017,04-Dec-24,16131.47,16040.44,16114.50,40.83,2.84,0.85,
BSE,BSE:MidCap,16-Oct-2017,04-Dec-24,16073.06,15952.62,16050.23,40.89,2.85,0.85,
BSE,BSE:MidCap,13-Oct-2017,04-Dec-24,16019.03,15948.75,15966.69,40.67,2.83,0.86,
BSE,BSE:MidCap,12-Oct-2017,04-Dec-24,15970.72,15786.17,15959.53,40.55,2.82,0.86,
BSE,BSE:MidCap,11-Oct-2017,04-Dec-24,16035.27,15736.00,15804.59,40.18,2.80,0.87,
BSE,BSE:MidCap,10-Oct-2017,04-Dec-24,15957.60,15849.54,15935.68,40.48,2.82,0.86,
BSE,BSE:MidCap,09-Oct-2017,04-Dec-24,15929.97,15801.27,15834.13,40.18,2.80,0.87,
BSE,BSE:MidCap,06-Oct-2017,04-Dec-24,15859.33,15732.86,15840.15,40.12,2.79,0.87,
BSE,BSE:MidCap,05-Oct-2017,04-Dec-24,15746.42,15642.68,15691.81,39.92,2.78,0.87,
BSE,BSE:MidCap,04-Oct-2017,04-Dec-24,15668.47,15591.20,15614.56,39.60,2.76,0.88,
BSE,BSE:MidCap,29-Sep-2017,04-Dec-24,15547.08,15344.32,15436.01,39.20,2.73,0.89,
BSE,BSE:MidCap,28-Sep-2017,04-Dec-24,15354.97,15129.78,15309.29,38.69,2.69,0.90,
BSE,BSE:MidCap,27-Sep-2017,04-Dec-24,15582.71,15164.48,15191.97,38.16,2.65,0.91,
BSE,BSE:MidCap,26-Sep-2017,04-Dec-24,15562.08,15383.28,15500.05,38.92,2.71,0.89,
BSE,BSE:MidCap,25-Sep-2017,04-Dec-24,15639.05,15189.03,15432.53,38.93,2.71,0.89,
BSE,BSE:MidCap,22-Sep-2017,04-Dec-24,16019.40,15584.27,15609.89,39.20,2.73,0.89,
BSE,BSE:MidCap,21-Sep-2017,04-Dec-24,16158.88,15902.61,16044.21,40.32,2.80,0.86,
BSE,BSE:MidCap,20-Sep-2017,04-Dec-24,16183.88,16080.84,16099.28,40.65,2.83,0.86,
BSE,BSE:MidCap,19-Sep-2017,04-Dec-24,16168.93,16081.75,16110.83,40.64,2.83,0.86,
BSE,BSE:MidCap,18-Sep-2017,04-Dec-24,16141.17,16032.53,16089.94,40.74,2.83,0.85,
BSE,BSE:MidCap,15-Sep-2017,04-Dec-24,16029.88,15895.86,15972.74,31.96,2.88,1.13,
BSE,BSE:MidCap,14-Sep-2017,04-Dec-24,16092.14,15948.69,16017.12,31.98,2.88,1.13,
BSE,BSE:MidCap,13-Sep-2017,04-Dec-24,16142.25,15899.78,15926.70,32.14,2.86,1.13,
BSE,BSE:MidCap,12-Sep-2017,04-Dec-24,16050.42,15928.50,16037.09,32.35,2.88,1.13,
BSE,BSE:MidCap,11-Sep-2017,04-Dec-24,15914.33,15832.86,15865.88,32.07,2.86,1.14,
BSE,BSE:MidCap,08-Sep-2017,04-Dec-24,15906.14,15706.95,15754.75,31.58,2.84,1.16,
BSE,BSE:MidCap,07-Sep-2017,04-Dec-24,15852.89,15776.99,15823.86,31.67,2.85,1.15,
BSE,BSE:MidCap,06-Sep-2017,04-Dec-24,15741.59,15567.25,15705.00,31.31,2.82,1.17,
BSE,BSE:MidCap,05-Sep-2017,04-Dec-24,15691.99,15570.60,15678.15,31.23,2.81,1.17,
BSE,BSE:MidCap,04-Sep-2017,04-Dec-24,15741.04,15432.69,15580.42,30.75,2.76,1.18,
BSE,BSE:MidCap,31-Aug-2017,04-Dec-24,15558.18,15487.72,15539.79,30.79,2.76,1.19,
